ID_Lahan,Tgl_Panen_Date,Hasil_Panen_Ton/Ha,Kode_Musim,Kode_Kualitas_Tanah,ID_Varietas,Hari_Panen,Tahun_Panen,Bulan_Panen,Kuartal_Panen,Musim_Teks,Kategori_Kualitas_Tanah,Kategori_Hasil,Panen_TahunMusim
LHN_3463,1/2/2023 0:00,5.8,Musim_1,KT_E,V_Hibrida,Monday,2023,January,Q1,Musim Tanam 1,Buruk,Sedang,Musim_1 - 2023
LHN_1399,1/3/2023 0:00,5.6,Musim_1,KT_E,V_Hibrida,Tuesday,2023,January,Q1,Musim Tanam 1,Buruk,Sedang,Musim_1 - 2023
LHN_2674,1/7/2023 0:00,5.7,Musim_1,KT_E,V_Hibrida,Saturday,2023,January,Q1,Musim Tanam 1,Buruk,Sedang,Musim_1 - 2023
LHN_4185,1/8/2023 0:00,4.8,Musim_1,KT_E,V_Hibrida,Sunday,2023,January,Q1,Musim Tanam 1,Buruk,Sedang,Musim_1 - 2023
LHN_4089,1/10/2023 0:00,4.9,Musim_1,KT_E,V_Hibrida,Tuesday,2023,January,Q1,Musim Tanam 1,Buruk,Sedang,Musim_1 - 2023
LHN_2717,1/10/2023 0:00,6.3,Musim_1,KT_E,V_Hibrida,Tuesday,2023,January,Q1,Musim Tanam 1,Buruk,Tinggi,Musim_1 - 2023
LHN_3116,1/12/2023 0:00,6.9,Musim_1,KT_E,V_Hibrida,Thursday,2023,January,Q1,Musim Tanam 1,Buruk,Tinggi,Musim_1 - 2023
LHN_3682,1/17/2023 0:00,5.9,Musim_1,KT_E,V_Hibrida,Tuesday,2023,January,Q1,Musim Tanam 1,Buruk,Sedang,Musim_1 - 2023
LHN_3299,1/21/2023 0:00,5.2,Musim_1,KT_E,V_Hibrida,Saturday,2023,January,Q1,Musim Tanam 1,Buruk,Sedang,Musim_1 - 2023
LHN_0825,1/22/2023 0:00,4.7,Musim_1,KT_E,V_Hibrida,Sunday,2023,January,Q1,Musim Tanam 1,Buruk,Sedang,Musim_1 - 2023
LHN_4166,1/24/2023 0:00,4.4,Musim_1,KT_E,V_Hibrida,Tuesday,2023,January,Q1,Musim Tanam 1,Buruk,Sedang,Musim_1 - 2023
LHN_0154,1/24/2023 0:00,5.6,Musim_1,KT_E,V_Hibrida,Tuesday,2023,January,Q1,Musim Tanam 1,Buruk,Sedang,Musim_1 - 2023
LHN_4642,1/27/2023 0:00,5.9,Musim_1,KT_E,V_Hibrida,Friday,2023,January,Q1,Musim Tanam 1,Buruk,Sedang,Musim_1 - 2023
LHN_4146,1/27/2023 0:00,7.1,Musim_1,KT_E,V_Hibrida,Friday,2023,January,Q1,Musim Tanam 1,Buruk,Tinggi,Musim_1 - 2023
LHN_1270,1/28/2023 0:00,5.8,Musim_1,KT_E,V_Hibrida,Saturday,2023,January,Q1,Musim Tanam 1,Buruk,Sedang,Musim_1 - 2023
LHN_1438,1/30/2023 0:00,4.9,Musim_1,KT_E,V_Hibrida,Monday,2023,January,Q1,Musim Tanam 1,Buruk,Sedang,Musim_1 - 2023
LHN_4050,2/3/2023 0:00,4.1,Musim_1,KT_E,V_Hibrida,Friday,2023,February,Q1,Musim Tanam 1,Buruk,Sedang,Musim_1 - 2023
